Unnamed: 0,level_0,Comment,Label,Llama3.1 Not Fine Tuned output,Llama3.1 Fine Tuned output,labels_to_numbers_original,labels_to_numbers (Fine Tuned),labels_to_numbers (Not Fine Tuned)
4269,4269,No2 handball FFS. The rest,Against,Against,Against,1,1,1
5019,5019,1:26 w,Against,Against,Against,1,1,1
1765,1765,He's the only player to help beat another Country in the world Cup by using his hand to score a goal.,Against,Against,Against,1,1,1
1609,1609,"Diego Maradona is my best football legend, ever. He himself with his artistic style has given Argentina world champions. Amazing. The factor of one man. Viva Maradona.",Favor,Favor,Favor,0,0,0
199,199,Only maradona and ali karmi,Favor,Favor,Irrelevant,0,3,0
333,333,One of the greatest players. What about Pel(Edson Arantes do Nascimento). ? We have two at least!,Irrelevant,Favor,Irrelevant,3,3,0
1338,1338,"The best thing about Maradona that nobody seems to talk about was his leadership. More technically gifted players have graced the football pitch, like his compatriot Messi, but what Messi lacks and for me will always be behind Maradona is great leadership. Not too many players can carry a team like he did with Argentina in 86 and Napoli. RIP Legend",Neutral,Favor,Favor,2,0,0
4098,4098,Legend living in peoples hearts for his legendary quality.,Favor,Favor,Favor,0,0,0
1260,1260,"Da Vinci in paItings , Einstein in science, JD baCk in music Aristoteles in philosophy in futbol that kind of name is MARADONA objective and impartial Best talent ever in futbol without doubt .. art in sports..",Favor,Against,Favor,0,0,1
4394,4394,There will never be another Maradona. The Hand Of God . The greatest goal ever !,Favor,Favor,Favor,0,0,0
2441,2441,"# 2 was a display of the utmost and pure wickedness and arrogance, yet finesse. No other player has ever combined such styles and made it look good",Favor,Against,Against,0,1,1
1425,1425,Where is goal No.2?,Irrelevant,Neutral,Irrelevant,3,3,2
3166,3166,Maradona football god,Favor,Favor,Favor,0,0,0
1647,1647,R.I.P.,Irrelevant,Neutral,Irrelevant,3,3,2
1536,1536,From Romania with LOVE and RESPECT MARADONA!R.I.P. Diego!,Favor,Favor,Favor,0,0,0
4784,4784,Man this makes me sad watching. Hate that he left us so soon.,Irrelevant,Against,Irrelevant,3,3,1
2577,2577,"7 vs Greece, mundial 1994",Irrelevant,Against,Irrelevant,3,3,1
3988,3988,"Magic, Genius, Nobody like MARADONA...",Favor,Against,Favor,0,0,1
2215,2215,#3 is his best,Against,Favor,Neutral,1,2,0
3783,3783,A legend not coming again...magic touch and finish.RIP Maradona......,Favor,Against,Favor,0,0,1
351,351,You don't mind if you don't understand but what about Pin a pilot P lay,Irrelevant,Favor,Irrelevant,3,3,0
1434,1434,Legend for ever.RIP. Maradona,Irrelevant,Against,Favor,3,0,1
3721,3721,Don't have the second goal of course,Neutral,Against,Against,2,1,1
2213,2213,Man this makes me sad watching. Hate that he left us so soon.,Irrelevant,Against,Irrelevant,3,3,1
2698,2698,He was showman.,Neutral,Favor,Favor,2,0,0
776,776,How can he accurately hit those long distance shots is really amazing.,Neutral,Neutral,Neutral,2,2,2
228,228,Football geniusGod of soccer,Favor,Against,Favor,0,0,1
4554,4554,No.17 OMG!,Irrelevant,Against,Favor,3,0,1
1872,1872,Never can see you my football God.,Favor,Against,Favor,0,0,1
842,842,Is it just me or were goalies way worse back then? They seem to be completely out of position on most of these goals.,Favor,Against,Neutral,0,2,1
1832,1832,The content is good but the music is ugly!,Irrelevant,Against,Irrelevant,3,3,1
2705,2705,video quality is eye straining . pl avoid,Irrelevant,Against,Irrelevant,3,3,1
1503,1503,seems like his right foot was just used to stop him falling over?,Against,Neutral,Irrelevant,1,3,2
248,248,The best player on the World is Maradona,Favor,Favor,Favor,0,0,0
1335,1335,he just ivented some kind of goals the rest just did it because saw him,Favor,Against,Favor,0,0,1
1849,1849,A genius - the art of soccer,Neutral,Favor,Favor,2,0,0
4517,4517,Top 20-1:-),Against,Favor,Irrelevant,1,3,0
4794,4794,Number 18 and 13 are REALLY REALLY REALLY IMPRESSIVE!!!,Favor,Favor,Favor,0,0,0
3825,3825,no need for messy music . just have original audio,Irrelevant,Against,Irrelevant,3,3,1
2138,2138,"in 90th MMM maradona, Michel Jackson, mike Tyson",Irrelevant,Favor,Irrelevant,3,3,0
4323,4323,15 is insane <3 <3 <3,Favor,Favor,Favor,0,0,0
3529,3529,Missed you always!You were a supernatural.,Favor,Favor,Favor,0,0,0
1773,1773,Hes great but would have a harder time in modern futbol. Those defenders and goalies arent doing shit.,Favor,Against,Favor,0,0,1
1183,1183,Best technics and timings.. what a player,Favor,Favor,Favor,0,0,0
3892,3892,This bloke was a genius on the pitch,Favor,Favor,Favor,0,0,0
2985,2985,Played this good whilst taking a performance dibilitating drug!,Irrelevant,Against,Against,3,1,1
3565,3565,What happened to #2???,Irrelevant,Favor,Irrelevant,3,3,0
2018,2018,Most God given talent I have ever witnessed in a footballer.,Favor,Favor,Favor,0,0,0
3194,3194,G.O.A.T,Favor,Favor,Favor,0,0,0
996,996,Another cheat druggie,Against,Against,Against,1,1,1
88,88,The greatest player in history,Favor,Favor,Favor,0,0,0
2091,2091,"He is a legend, but man, those goalkeepers were trash",Favor,Favor,Favor,0,0,0
4674,4674,"""When you're on the pitch, Life goes away. Problems go away. Everything goes away.""Diego Maradona",Neutral,Favor,Irrelevant,2,3,0
3831,3831,One and Only,Favor,Favor,Favor,0,0,0
4625,4625,Just one phrase to describe his skills god gifted,Favor,Favor,Favor,0,0,0
4610,4610,En Argentina tenemos a dos idolos maximos Gardel y Maradona .Dijo Distefano sobre maradona y pele : pele ponia la pelota en el ojo de una aguja pero maradona era un artista con la pelota .,Favor,Favor,Favor,0,0,0
3098,3098,The era is over.. he played it with his heart.. he painted on the grass.. he wrote poetry with his left foot.. absolutely the GOAT...,Favor,Favor,Favor,0,0,0
2172,2172,Maradona/MessiRonaldinhoPeleTop 3 EVER,Irrelevant,Favor,Irrelevant,3,3,0
1485,1485,H can not shoot with his right leg?,Neutral,Against,Against,2,1,1
4239,4239,Background music makes it impossible to wach,Irrelevant,Against,Irrelevant,3,3,1
4865,4865,"The greatest most naturally gifted player ever, always played in teams with no stars and won trophies at club and international level. When Messi and C Ronaldo play with no stars they're not the same, that's why they'll never be on Maradona's level. The greatest there has ever been.",Favor,Favor,Favor,0,0,0
144,144,Agree all.... I'm 44 year's old..... he's the best I've ever seen,Favor,Favor,Favor,0,0,0
315,315,number 20 is one of the best,Neutral,Favor,Favor,2,0,0
4148,4148,I thought he was a volleyball player.,Irrelevant,Neutral,Irrelevant,3,3,2
2868,2868,"idk the athletes in his era are so slow and unathletic... Messi is better in terms of skill, IQ and achievements...",Irrelevant,Against,Irrelevant,3,3,1
1747,1747,The greatest footballer I've seen play the game. It's hilarious that Ingerlund fans still whinge and cry and bellyache all these years later. D10s,Favor,Against,Against,0,1,1
3635,3635,#6 hit DM head,Against,Against,Against,1,1,1
4139,4139,the number one in all the world,Favor,Favor,Favor,0,0,0
4828,4828,Youtube!!! Where is the freak.in volume button here?,Irrelevant,Against,Irrelevant,3,3,1
1391,1391,Not humans only gods can do that,Favor,Against,Favor,0,0,1
3902,3902,Everyone believes his best goal was vs England 1986.....but not me,Neutral,Against,Against,2,1,1
5057,5057,"Fantastic player , but what a shame he was such a cheat . Hand of God ? Do me a favour",Against,Against,Against,1,1,1
2218,2218,it seems like he never was fully trained and still the best. incredible,Favor,Favor,Favor,0,0,0
3265,3265,No 2 hand of God,Against,Against,Against,1,1,1
1417,1417,rest in peace legend,Favor,Neutral,Favor,0,0,2
2002,2002,Romrio played better.,Irrelevant,Favor,Irrelevant,3,3,0
2197,2197,I believe it because it's not fake News!,Irrelevant,Favor,Irrelevant,3,3,0
2855,2855,Our world lost a legend.,Neutral,Favor,Favor,2,0,0
4390,4390,The Best 10,Favor,Favor,Irrelevant,0,3,0
4080,4080,The greatest of them all,Favor,Neutral,Favor,0,0,2
3392,3392,"He was good for his time, but in todays football he wouldnt even be top 50. Most of his goals are because of really bad goalkeeping.",Against,Against,Against,1,1,1
100,100,video quality is eye straining . pl avoid,Irrelevant,Against,Irrelevant,3,3,1
3001,3001,"Maradona is to football what General Relativity is to physics: plain poetry, in their fields. The Neapolitans of the 1980's were really blessed having the chance to watch this phenomenon playing for their team.",Favor,Favor,Favor,0,0,0
438,438,After watching this video I am shocked why People blame Messi for scoring only by left footer,Irrelevant,Against,Irrelevant,3,3,1
4471,4471,Wow salute. Super super player,Favor,Favor,Favor,0,0,0
670,670,He cared messi like a son So sad he couldn't see Argentina winning 2022 world Cup,Irrelevant,Favor,Irrelevant,3,3,0
4205,4205,Thanks to Telivision..... We could watch his play live!!! A legend,Favor,Favor,Irrelevant,0,3,0
811,811,Maradona the Legend.,Favor,Favor,Favor,0,0,0
5098,5098,The greatest football player ever r I p,Favor,Favor,Favor,0,0,0
3574,3574,Goal post should be covered with two goalkeeper,Irrelevant,Against,Irrelevant,3,3,1
4876,4876,"For all the astounding ability, #2 is a cheat's goal.",Against,Against,Against,1,1,1
5014,5014,"Is it me or in most of the actions the goalie completely sucks.... I mean, I can't see most modern goalkeepers getting a goal like that...",Favor,Against,Favor,0,0,1
1351,1351,Imagine if we were able to watch him play in 1080p back then. Let's be thankful that he graced us with his talent.,Favor,Neutral,Irrelevant,0,3,2
1822,1822,How can you claim the 'hand of god' was a great goal. It was simply disgusting cheating.,Against,Against,Against,1,1,1
109,109,"Maybe Pele have more World Cup than him, Maybe Messi have more trophies than him and Maybe CR7 have more goals than him, Maybe Cruyff have more assists than him but trust me there is something divinely special in him which no other can have like him.",Favor,Neutral,Favor,0,0,2
1983,1983,"Great vid, as much as I dont glorify his many personal habits that left much to be desired, what a striker. The epitome of centre forward play. Having you own awareness of your skill on the field is the start. But when you know what your opponents are thinking it puts you a step ahead. Only Zidane matched Maradonna for this kind of thinking game. My two fave players..ZZ added an edge over Diego here IMO with his physical stature and versatility in stemming counter attacks..",Favor,Favor,Neutral,0,2,0
2275,2275,The hand of God...a life spectacle for all football fans,Favor,Against,Favor,0,0,1
4348,4348,Nobody fooled goalkeepers better,Favor,Against,Favor,0,0,1
544,544,Pls help me what is name of this music i loveeee it,Irrelevant,Neutral,Irrelevant,3,3,2
3528,3528,Amazin my friend,Irrelevant,Favor,Favor,3,0,0
422,422,Some of the goals are like lesser guided missiles. So accurate.,Favor,Against,Favor,0,0,1
1739,1739,19 moments of genius and 1 moment of Hand of God ;-),Neutral,Favor,Favor,2,0,0
1044,1044,#4 was best,Against,Favor,Neutral,1,2,0
1744,1744,these goals look like a fake,Against,Against,Against,1,1,1
3750,3750,The greatest of all my hero God bless you,Favor,Favor,Favor,0,0,0
831,831,I thought no.1 is going to be the hand goal,Neutral,Against,Against,2,1,1
4742,4742,I was using him on fifa22 eh pure legend,Favor,Favor,Irrelevant,0,3,0
3568,3568,"Better than Messi. toady Messi gets too much protection from the referee, in Maradona's era the defenders were not so nice.",Irrelevant,Favor,Favor,3,0,0
655,655,"Maradona is a legend,a soccer genius and a great person!RIP!",Favor,Favor,Favor,0,0,0
4358,4358,every gold was kick by left leg,Irrelevant,Against,Irrelevant,3,3,1
711,711,#15 is like the Goal from Ibrahimovic,Irrelevant,Favor,Irrelevant,3,3,0
2252,2252,"#2, Are you serious?",Against,Against,Against,1,1,1
4953,4953,They were alright goals,Neutral,Neutral,Neutral,2,2,2
1406,1406,name is music,Against,Neutral,Irrelevant,1,3,2
724,724,Man Rest in peace for Maradona we will all miss him,Irrelevant,Neutral,Irrelevant,3,3,2
1057,1057,I'm suprised #2 made it on the list but anyhow,Irrelevant,Neutral,Against,3,1,2
1835,1835,"Sadly and dont @ me, the greatest and biggest cheat in football #fact",Against,Against,Against,1,1,1
3090,3090,Yes Maradona is one of the greatest footballers of all time but in my personal opinion Ronaldo Nazario is the greatest footballer of all time,Neutral,Favor,Irrelevant,2,3,0
297,297,From greatest footballer to greatest junkie,Against,Against,Against,1,1,1
3649,3649,This is poetry of football.,Favor,Against,Favor,0,0,1
3447,3447,Have seen far better goals!!,Against,Against,Against,1,1,1
4702,4702,Maradona an amazing legend with football.,Favor,Favor,Favor,0,0,0
1837,1837,and finally died because no enough medical care RIP,Irrelevant,Against,Irrelevant,3,3,1
308,308,"Argentina, a wonderful player who never misses a beat. There for the world to admire the artist. that always display the high art of football",Neutral,Favor,Favor,2,0,0
230,230,God I love Messi but Maradona was God. The best ever,Favor,Against,Favor,0,0,1
705,705,...if football had a god his name would be Diego....,Favor,Favor,Favor,0,0,0
1427,1427,This scum @holes #2 was cheating so It shouldnt be considered even a goal.,Against,Against,Against,1,1,1
3881,3881,Maradona The best of all times,Favor,Favor,Favor,0,0,0
4587,4587,Diego Armando Maradona is the best. I love it,Favor,Favor,Favor,0,0,0
1456,1456,Those ain't goals but masterpieces by an artist of soccer,Favor,Favor,Favor,0,0,0
2873,2873,"Nr. 13...I was a kid just behind that goal where he scored. An epic moment of magic. Simply unreal and out of this world. This video can not even come close to that felling that we, who were there, felt at this moment of pure genius. Thank you Diego, we will never forget you...",Favor,Favor,Favor,0,0,0
1295,1295,Is it just me? But #20 could have easily been #1.,Neutral,Against,Neutral,2,2,1
555,555,Bro probably went to the bluelock,Against,Neutral,Irrelevant,1,3,2
3861,3861,The Greatest of all.Maradona!,Favor,Favor,Favor,0,0,0
1557,1557,"#3, really?! Otherwise the best player in my lifetime.",Against,Favor,Against,1,1,0
4209,4209,"Great player, shame that the 'hand of god' goal was in this list as it didn't need to be.",Against,Against,Against,1,1,1
